60
14, 100
14, -100
-76, 65
-76, -65
50, 87
50, -87
-33, 95
-33, -95
-82, 58
-82, -58
6, 100
6, -100
36, 94
36, -94
78, 63
78, -63
73, 69
73, -69
-30, 96
-30, -96
12, 100
12, -100
66, 76
66, -76
40, 92
40, -92
-90, 44
-90, -44
82, 58
82, -58
44, 90
44, -90
2, 100
2, -100
1, 100
1, -100
87, 50
87, -50
-35, 94
-35, -94
-37, 93
-37, -93
-96, 28
-96, -28
-20, 98
-20, -98
38, 93
38, -93
-69, 73
-69, -73
94, 35
94, -35
-66, 76
-66, -76
35, 94
35, -94
-80, 60
-80, -60
-10, 100
-10, -100
